"","value","Class","N","N_cumulative","cumulative_pct","Group"
"196",0.95197848636189,"8690A",1308,2019884,0.936590568176813,"Catégories représentant 20% des données"
"197",0.958861976163014,"0147Z",1307,2021191,0.937196604896053,"Catégories représentant 20% des données"
"198",0.762546816479401,"5911C",1300,2022491,0.937799395818022,"Catégories représentant 20% des données"
"199",0.810900082576383,"7320Z",1298,2023789,0.938401259369342,"Catégories représentant 20% des données"
"200",0.76843363889996,"2562B",1292,2025081,0.939000340808714,"Catégories représentant 20% des données"
"201",0.478618421052632,"4752A",1280,2026361,0.93959385802419,"Catégories représentant 20% des données"
"202",0.76038338658147,"4777Z",1269,2027630,0.940182274701097,"Catégories représentant 20% des données"
"203",0.875991649269311,"5813Z",1244,2028874,0.940759099244888,"Catégories représentant 20% des données"
"204",0.784928027095682,"5912Z",1240,2030114,0.941334069047382,"Catégories représentant 20% des données"
"205",0.69769324160259,"4329B",1234,2031348,0.941906256737927,"Catégories représentant 20% des données"
"206",0.886326194398682,"2341Z",1230,2032578,0.942476589687175,"Catégories représentant 20% des données"
"207",0.851926977687627,"7911Z",1225,2033803,0.943044604209799,"Catégories représentant 20% des données"
"208",0.571550619393422,"4651Z",1217,2035020,0.943608909249827,"Catégories représentant 20% des données"
"209",0.726063829787234,"4531Z",1212,2036232,0.944170895863231,"Catégories représentant 20% des données"
"210",0.957214765100671,"5629B",1207,2037439,0.944730564050013,"Catégories représentant 20% des données"
"211",0.791325695581015,"0240Z",1194,2038633,0.945284204327575,"Catégories représentant 20% des données"
"212",0.93122597180692,"8129A",1171,2039804,0.945827179842672,"Catégories représentant 20% des données"
"213",0.774946004319654,"4726Z",1146,2040950,0.946358563224653,"Catégories représentant 20% des données"
"214",0.918635170603675,"4730Z",1145,2042095,0.94688948292131,"Catégories représentant 20% des données"
"215",0.623339658444023,"4645Z",1136,2043231,0.947416229450046,"Catégories représentant 20% des données"
"216",0.932735426008969,"0119Z",1126,2044357,0.947938339125536,"Catégories représentant 20% des données"
"217",0.823478636167458,"9313Z",1120,2045477,0.948457666689078,"Catégories représentant 20% des données"
"218",0.846303501945525,"8110Z",1110,2046587,0.948972357399374,"Catégories représentant 20% des données"
"219",0.806173399909215,"8220Z",1097,2047684,0.949481020200451,"Catégories représentant 20% des données"
"220",0.635774788241156,"8129B",1071,2048755,0.949977627183088,"Catégories représentant 20% des données"
"221",0.696356275303644,"7729Z",1053,2049808,0.950465887829883,"Catégories représentant 5% des données"
"222",0.904135338345865,"8622B",1041,2050849,0.950948584252783,"Catégories représentant 5% des données"
"223",0.7626953125,"7312Z",1026,2051875,0.951424325395813,"Catégories représentant 5% des données"
"224",0.779559118236473,"7732Z",1013,2052888,0.951894038629624,"Catégories représentant 5% des données"
"225",0.944111776447106,"8690B",1009,2053897,0.952361897122137,"Catégories représentant 5% des données"
"226",0.772334293948127,"9321Z",1005,2054902,0.952827900873351,"Catégories représentant 5% des données"
"227",0.670639219934995,"4939B",1002,2055904,0.953292513568592,"Catégories représentant 5% des données"
"228",0.735146022155086,"4332C",985,2056889,0.953749243613314,"Catégories représentant 5% des données"
"229",0.538177988414955,"4652Z",983,2057872,0.954205046287388,"Catégories représentant 5% des données"
"230",0.877645844088797,"1072Z",980,2058852,0.954659457905487,"Catégories représentant 5% des données"
"231",0.63495145631068,"6190Z",976,2059828,0.955112014782288,"Catégories représentant 5% des données"
"232",0.812736103615758,"4778B",974,2060802,0.95556364428844,"Catégories représentant 5% des données"
"233",0.621026894865526,"4646Z",972,2061774,0.956014346423943,"Catégories représentant 5% des données"
"234",0.460126219162364,"4669C",962,2062736,0.9564604117062,"Catégories représentant 5% des données"
"235",0.757917337627483,"9524Z",954,2063690,0.95690276750586,"Catégories représentant 5% des données"
"236",0.546454095656954,"8020Z",951,2064641,0.957343732249546,"Catégories représentant 5% des données"
"237",0.912513842746401,"6512Z",939,2065580,0.957779132769337,"Catégories représentant 5% des données"
"238",0.717830351990768,"4631Z",903,2066483,0.958197840617443,"Catégories représentant 5% des données"
"239",0.697647058823529,"4931Z",891,2067374,0.958610984241654,"Catégories représentant 5% des données"
"240",0.800468110005851,"0220Z",887,2068261,0.959022273124567,"Catégories représentant 5% des données"
"241",0.834117647058824,"3315Z",856,2069117,0.959419187762417,"Catégories représentant 5% des données"
"242",0.739348370927318,"7830Z",854,2069971,0.959815175029618,"Catégories représentant 5% des données"
"243",0.678686413393432,"4669A",850,2070821,0.96020930755552,"Catégories représentant 5% des données"
"244",0.880879657910812,"8899A",846,2071667,0.960601585340125,"Catégories représentant 5% des données"
"245",0.749376558603491,"3811Z",836,2072503,0.960989226271483,"Catégories représentant 5% des données"
"246",0.949434860202261,"0311Z",825,2073328,0.961371766664271,"Catégories représentant 5% des données"
"247",0.961702127659574,"0128Z",821,2074149,0.96175245231576,"Catégories représentant 5% des données"
"248",0.774309723889556,"4399B",806,2074955,0.962126182687381,"Catégories représentant 5% des données"
"249",0.724137931034483,"4711C",803,2075758,0.962498522003028,"Catégories représentant 5% des données"
"250",0.713436385255648,"4621Z",796,2076554,0.962867615521403,"Catégories représentant 5% des données"
"251",0.88404868673927,"5530Z",790,2077344,0.96323392692783,"Catégories représentant 5% des données"
"252",0.692759295499021,"2511Z",783,2078127,0.963596992536985,"Catégories représentant 5% des données"
"253",0.872680742162508,"2370Z",779,2078906,0.963958203404841,"Catégories représentant 5% des données"
"254",0.852791878172589,"4942Z",776,2079682,0.964318023216724,"Catégories représentant 5% des données"
"255",0.732558139534884,"4761Z",773,2080455,0.964676451972633,"Catégories représentant 5% des données"
"256",0.669144981412639,"4617B",767,2081222,0.965032098616595,"Catégories représentant 5% des données"
"257",0.826684107259647,"9512Z",750,2081972,0.965379862610038,"Catégories représentant 5% des données"
"258",0.938694792353329,"1105Z",748,2082720,0.965726699232833,"Catégories représentant 5% des données"
"259",0.951864406779661,"0124Z",743,2083463,0.966071217429004,"Catégories représentant 5% des données"
"260",0.957171991842284,"7120A",738,2084201,0.966413417198552,"Catégories représentant 5% des données"
"261",0.833876221498371,"6621Z",734,2084935,0.966753762226802,"Catégories représentant 5% des données"
"262",0.744186046511628,"9522Z",718,2085653,0.967086688289859,"Catégories représentant 5% des données"
"263",0.919943820224719,"5629A",715,2086368,0.967418223296942,"Catégories représentant 5% des données"
"264",0.32486388384755,"4638B",705,2087073,0.967745121450779,"Catégories représentant 5% des données"
"265",0.649452269170579,"9311Z",676,2087749,0.968058572730202,"Catégories représentant 5% des données"
"266",0.48501872659176,"4647Z",649,2088398,0.968359504505862,"Catégories représentant 5% des données"
"267",0.748646558391338,"4723Z",647,2089045,0.968659508910873,"Catégories représentant 5% des données"
"268",0.566096423017107,"4641Z",645,2089690,0.968958585945234,"Catégories représentant 5% des données"
"269",0.720364741641337,"4765Z",645,2090335,0.969257662979595,"Catégories représentant 5% des données"
"270",0.627826086956522,"1623Z",638,2090973,0.969553494216685,"Catégories représentant 5% des données"
"271",0.867924528301887,"0130Z",627,2091600,0.969844224915204,"Catégories représentant 5% des données"
"272",0.739202657807309,"3212Z",619,2092219,0.970131246131126,"Catégories représentant 5% des données"
"273",0.611280487804878,"7740Z",618,2092837,0.970417803661723,"Catégories représentant 5% des données"
"274",0.759136212624585,"7912Z",617,2093454,0.970703897506996,"Catégories représentant 5% des données"
"275",0.814874696847211,"4311Z",606,2094060,0.970984890813698,"Catégories représentant 5% des données"
"276",0.754125412541254,"2042Z",594,2094654,0.971260319896505,"Catégories représentant 5% des données"
"277",0.911890504704876,"7711B",594,2095248,0.971535748979313,"Catégories représentant 5% des données"
"278",0.955223880597015,"0125Z",568,2095816,0.971799122243681,"Catégories représentant 5% des données"
"279",0.637653736991485,"4661Z",556,2096372,0.972056931284153,"Catégories représentant 5% des données"
"280",0.868397493285586,"2550A",544,2096916,0.972309176100731,"Catégories représentant 5% des données"
"281",0.997219647822057,"8411Z",541,2097457,0.972560029861335,"Catégories représentant 5% des données"
"282",0.798165137614679,"1082Z",540,2097997,0.972810419936614,"Catégories représentant 5% des données"
"283",0.667307692307692,"6499Z",540,2098537,0.973060810011893,"Catégories représentant 5% des données"
"284",0.923913043478261,"9523Z",539,2099076,0.973310736401848,"Catégories représentant 5% des données"
"285",0.632713026444662,"7810Z",532,2099608,0.973557416994531,"Catégories représentant 5% des données"
"286",0.56678281068525,"4613Z",518,2100126,0.973797605992669,"Catégories représentant 5% des données"
"287",0.669165885660731,"4754Z",515,2100641,0.974036403934834,"Catégories représentant 5% des données"
"288",0.639296187683284,"4299Z",510,2101151,0.974272883450375,"Catégories représentant 5% des données"
"289",0.701325178389399,"1399Z",499,2101650,0.974504262427346,"Catégories représentant 5% des données"
"290",0.784140969162996,"1071B",498,2102148,0.974735177718993,"Catégories représentant 5% des données"
"291",0.527810650887574,"1085Z",496,2102644,0.97496516563999,"Catégories représentant 5% des données"
"292",0.409638554216867,"4676Z",492,2103136,0.975193298819689,"Catégories représentant 5% des données"
"293",0.477722772277228,"3320D",488,2103624,0.97541957725809,"Catégories représentant 5% des données"
"294",0.623983739837398,"4222Z",483,2104107,0.975643537269867,"Catégories représentant 5% des données"
"295",0.678762006403415,"4674B",476,2104583,0.975864251484373,"Catégories représentant 5% des données"
"296",0.580645161290323,"4673B",473,2105056,0.976083574642904,"Catégories représentant 5% des données"
"297",0.908717948717949,"7112A",471,2105527,0.976301970430787,"Catégories représentant 5% des données"
"298",0.596531791907515,"6110Z",470,2105997,0.976519902533345,"Catégories représentant 5% des données"
